"Title";"Seed";"Leech";"Poidsdutorrent";"date";"Categories";"Genre";"Plot"
"Slender Man FRENCH HDLight 1080p 2018";"118";"44";"2.02GB";"22/01/2020";"Films";"Epouvante-horreur";"Un long métrage centré sur Slender Man, monstre créé sur Internet en 2009 et devenu une légende urbaine."
"Mamá FRENCH HDLight 1080p 2013";"93";"39";"3.18GB";"22/01/2020";"Films";"Epouvante-horreur";"Il y a cinq ans, deux sœurs, Victoria et Lily, ont mystérieusement disparu, le jour où leurs parents ont été tués. Depuis, leur oncle Lucas et sa petite amie Annabel les recherchent désespérément. Tandis que les petites filles sont retrouvées dans une cabane délabrée et partent habiter chez Lucas, Annabel tente de leur réapprendre à mener une vie normale. Mais elle est de plus en plus convaincue que les deux sœurs sont suivies par une présence maléfique…"
"Léon FRENCH HDLight 1080p 1994";"424";"91";"2.9GB";"22/01/2020";"Films";"Policier,Thriller";"Un tueur à gages répondant au nom de Léon prend sous son aile Mathilda, une petite fille de douze ans, seule rescapée du massacre de sa famille. Bientôt, Léon va faire de Mathilda une \"nettoyeuse\", comme lui. Et Mathilda pourra venger son petit frère..."
"Bad Boys For Life TRUEFRENCH HDTS MD 2020";"1595";"382";"1.3GB";"22/01/2020";"Films";"Action,Aventure";"Vidéo : 6  | Audio : 6   "
"Jim Bouton : la cité des dragons TRUEFRENCH WEBRIP 2019";"291";"39";"1.35GB";"22/01/2020";"Films";"Action,Aventure";"L'île de Lummerland est juste assez grande pour abriter un roi, ses trois sujets et une locomotive. L'arrivée du jeune Jim Bouton va bouleverser la sérénité de l'île et pousser Lucas, le conducteur de la locomotive, à partir à la découverte du monde. Jim décide d'accompagner son ami dans ses voyages."
"Love on Safari TRUEFRENCH WEBRIP 2019";"102";"14";"694.84MB";"22/01/2020";"Films";"Romance";"Kira, qui travaille dans le multimédia à Chicago, apprend qu’elle vient d’hériter d’une réserve naturelke située en Afrique du Sud. La jeune fille se rend sur place afin de découvrir les lieux. Elke y rencontre Tom, le ranger en chef du domaine."
"Swiped FRENCH WEBRIP 2019";"105";"18";"697.17MB";"22/01/2020";"Films";"Comédie";"En mettant au point une application de rencontres coquines révolutionnaire, deux colocataires diffusent un parfum de scandale sur tout leur campus."
"Inception FRENCH HDLight 1080p 2010";"111";"18";"2.09GB";"22/01/2020";"Films";"Sciencefiction";"Dom Cobb est un voleur expérimenté – le meilleur qui soit dans l’art périlleux de l’extraction : sa spécialité consiste à s’approprier les secrets les plus précieux d’un individu, enfouis au plus profond de son subconscient, pendant qu’il rêve et que son esprit est particulièrement vulnérable. Très recherché pour ses talents dans l’univers trouble de l’espionnage industriel, Cobb est aussi devenu un fugitif traqué dans le monde entier qui a perdu tout ce qui lui est cher. Mais une ultime mission pourrait lui permettre de retrouver sa vie d’avant – à condition qu’il puisse accomplir l’impossible : l’inception. Au lieu de subtiliser un rêve, Cobb et son équipe doivent faire l’inverse : implanter une idée dans l’esprit d’un individu. S’ils y parviennent, il pourrait s’agir du crime parfait. Et pourtant, aussi méthodiques et doués soient-ils, rien n’aurait pu préparer Cobb et ses partenaires à un ennemi redoutable qui semble avoir systématiquement un coup d’avance sur eux. Un ennemi dont seul Cobb aurait pu soupçonner l’existence."
"Supercondriaque FRENCH HDLight 1080p 2014";"101";"24";"2.21GB";"22/01/2020";"Films";"Comédie";"Romain Faubert est un homme seul qui, à bientôt 40 ans, n’a ni femme ni enfant. Le métier qu’il exerce, photographe pour dictionnaire médical en ligne, n’arrange rien à une hypocondrie maladive qui guide son style de vie depuis bien trop longtemps et fait de lui un peureux névropathe. Il a comme seul et véritable ami son médecin traitant, le Docteur Dimitri Zvenska, qui dans un premier temps a le tort de le prendre en affection, ce qu’il regrette aujourd’hui amèrement. Le malade imaginaire est difficilement gérable et Dimitri donnerait tout pour s’en débarrasser définitivement. Le docteur Zvenska pense avoir le remède qui le débarrassera en douceur de Romain Flaubert : l’aider à trouver la femme de sa vie. Il l’invite à des soirées chez lui, l’inscrit sur un site de rencontre, l’oblige à faire du sport, le coach même sur la manière de séduire et de se comporter avec les femmes. Mais découvrir la perle rare qui sera capable de le supporter et qui par amour l’amènera à surmonter enfin son hypocondrie s’avère plus ardu que prévu..."
"Horrible Histories : The Movie FRENCH DVDRIP 2020";"525";"52";"697.08MB";"22/01/2020";"Films";"Historique";"Sous le règne de l'Empereur Néron, Atti un adolescent romain intelligent mais peu musclé est contraint de rejoindre les rangs de l'armée pour étendre l'Empire sur la Grande-Bretagne. Il se fait capturé par Orla, une jeune guerrière Celte."
"Jay and Silent Bob Reboot FRENCH WEBRIP 2020";"767";"130";"1.24GB";"22/01/2020";"Films";"Comédie";"Jay et Silent Bob retournent à Hollywood pour empêcher la production d'un reboot du film de super-héros Bluntman et Chronic."
"Playing With Fire FRENCH WEBRIP 2020";"367";"70";"1.27GB";"22/01/2020";"Films";"Comédie";"A la suite d'un feu en forêt, des pompiers portent secours à une fratrie de trois enfants mais les parents restent introuvables. Les soldats du feu doivent assurer leur permanence tout en faisant du baby-sitting."
"Scandale TRUEFRENCH DVDSCR MD 2020";"451";"64";"1.31GB";"22/01/2020";"Films";"Biopic";"Inspiré de faits réels, SCANDALE nous plonge dans les coulisses d’une chaîne de télévision aussi puissante que controversée. Des premières étincelles à l’explosion médiatique, découvrez comment des femmes journalistes ont réussi à briser la loi du silence pour dénoncer l’inacceptable."
"Notre dame FRENCH HDTS MD 2020";"122";"23";"1.32GB";"22/01/2020";"Films";"Comédie";NA
"Une fille facile FRENCH WEBRIP 2020";"1637";"230";"696.18MB";"21/01/2020";"Films";"Drame";"Naïma a 16 ans et vit à Cannes. Alors qu'elle se donne l'été pour choisir ce qu'elle veut faire dans la vie, sa cousine Sofia, au mode de vie attirant, vient passer les vacances avec elle. Ensemble, elles vont vivre un été inoubliable."
"Little TRUEFRENCH DVDRIP 2019";"191";"25";"694.61MB";"21/01/2020";"Films";"Comédie";"Par miracle, une femme, à un moment crucial de sa vie, revit son adolescence."
"Bleeding Steel TRUEFRENCH DVDRIP 2019";"366";"47";"693.63MB";"21/01/2020";"Films";"Action,Aventure";"Un agent des forces spéciales doit se battre contre un terrible gang pour protéger la jeune femme qu'il aime. "
"Les Etoiles Vagabondes: Nouvel Album Au Cinéma FRENCH WEBRIP 1080p 2019";"110";"13";"2.03GB";"21/01/2020";"Films";"Documentaire";NA
"Fight Club FRENCH HDLight 1080p 1999";"227";"15";"1.69GB";"21/01/2020";"Films";"Policier,Thriller";"Le narrateur, sans identité précise, vit seul, travaille seul, dort seul, mange seul ses plateaux-repas pour une personne comme beaucoup d'autres personnes seules qui connaissent la misère humaine, morale et sexuelle. C'est pourquoi il va devenir membre du Fight club, un lieu clandestin ou il va pouvoir retrouver sa virilité, l'échange et la communication. Ce club est dirigé par Tyler Durden, une sorte d'anarchiste entre gourou et philosophe qui prêche l'amour de son prochain."
"All Is True FRENCH DVDRIP 2019";"61";"12";"707.03MB";"21/01/2020";"Films";"Drame";"William Shakespeare prend sa retraite suite à l'incendie du théâtre du Globe. Il retourne vivre à Stratford. Hanté par le décès de son fils à l'âge de onze ans, Hamnet, le dramaturge réexamine ses relations familiales et ses propres échecs en tant que mari et père."
"Dernier amour FRENCH WEBRIP 2019";"88";"19";"687.69MB";"21/01/2020";"Films";"Drame";"Au XVIIIe siècle, Casanova, connu pour son goût du plaisir et du jeu, arrive à Londres après avoir dû s'exiler. Dans cette ville dont il ignore tout, il rencontre à plusieurs reprises une jeune courtisane, la Charpillon, qui l'attire au point d'en oublier les autres femmes."
"Les Petits mouchoirs TRUEFRENCH DVDRIP 2010";"105";"11";"701.09MB";"21/01/2020";"Films";"Comédiedramatique";"A la suite d'un événement bouleversant, une bande de copains décide, malgré tout, de partir en vacances au bord de la mer comme chaque année. Leur amitié, leurs certitudes, leur culpabilité, leurs amours en seront ébranlées. Ils vont enfin devoir lever les petits mouchoirs qu'ils ont posés sur leurs secrets et leurs mensonges."
"Booksmart TRUEFRENCH DVDRIP 2019";"71";"23";"694.77MB";"21/01/2020";"Films";"Comédie";"Deux jeunes filles de terminale prennent conscience qu'elles auraient dû profiter davantage des \" années lycée \" afin de s'amuser et décident de se trouver un petit ami avant la fin de l'année scolaire."
"Blanche Comme Neige FRENCH WEBRIP 2019";"101";"11";"705.64MB";"21/01/2020";"Films";"Comédie";"Claire, jeune femme d’une grande beauté, suscite l’irrépressible jalousie de sa belle-mère Maud, qui va jusqu’à préméditer son meurtre. Sauvée in extremis par un homme mystérieux qui la recueille dans sa ferme, Claire décide de rester dans ce village et va éveiller l’émoi de ses habitants... Un, deux, et bientôt sept hommes vont tomber sous son charme ! Pour elle, c’est le début d’une émancipation radicale, à la fois charnelle et sentimentale…"
"Cruise FRENCH WEBRIP 2019";"111";"16";"695.49MB";"21/01/2020";"Films";"Romance";"Eté 1987, Gio, un jeune homme italien habitant le quartier du Queens a sa propre idée sur les bagnoles et les filles. Il croit tout savoir jusqu'à ce qu'il fasse la rencontre de Jessica, une jeune fille juive orriginaire de Long Island..."
"55 Steps FRENCH WEBRIP 2019";"125";"24";"694.24MB";"21/01/2020";"Films";"Drame";"L'histoire vraie d'une avocate défendant une schizophrène."
"Scarface VOSTFR DVDRIP 1983";"58";"10";"1.04GB";"21/01/2020";"Films";"Action,Aventure";"En 1980, Tony \"Scarface\" Montana bénéficie d'une amnistie du gouvernement cubain pour retourner en Floride. Ambitieux et sans scrupules, il élabore un plan pour éliminer un caïd de la pègre et prendre la place qu'il occupait sur le marché de la drogue."
"The Crow FRENCH DVDRIP 1994";"162";"15";"1.34GB";"21/01/2020";"Films";"Action,Aventure";"La veille de leur mariage, Eric Draven et Shelly Webster sont sauvagement assassinés. Un an plus tard, un corbeau ramène Eric à la vie au cï¿½ur d'une ville plongée dans les ténèbres. Eric va se laisser conduire là où sa vengeance l'appelle. Pour que justice soit faite. Pour l'amour de Shelly."
